Course	Room	Teacher	Time	Students
88	ESTW307	232	27	33 58 83 85 105 120 142 149 171 264 267 303 350 365 366 373 384 477 526 630 674 730 733 756 789 870 897 910 911 916 971 1029 1041 1087
89	SHA410	212	9	36 101 126 300 304 306 419 421 516 559 617 632 820 991 1040 1057 1086 1138 1171
90	SHAAUD	259	53	37 112 272 330 369 436 501 576 688 771 781 993
91	SHAAUD	166	56	51 67 95 101 138 148 153 158 180 189 232 236 256 307 328 353 381 411 464 470 493 505 528 532 558 561 633 660 707 756 774 795 797 863 924 980 991 1039 1072 1083 1086 1108 1121 1129 1138 1171
92	SHA410	304	40	37 772 849 1099 1111
93	STOAUD	245	53	84 131 133 149 155 190 206 212 223 255 354 399 530 579 590 638 650 702 726 818 829 921 989 1041 1057 1105
94	ESTW307	97	26	38 54 138 280 466 548 588 626 725 726 768 864 895 908 928 945 1151
95	SHAAUD	189	2	39 104 114 189 346 477 486 528 559 673 703 722 739 770 798 806 807 813 970 1017 1032 1099 1111 1173 1174 1182
96	SHA410	276	3	40 52 55 58 62 83 113 131 179 191 243 291 334 343 360 365 424 430 459 498 539 667 799 819 910 911 959 1013 1032 1072 1141 1185
97	SHA410	97	10	41 53 88 140 203 287 342 430 479 595 665 670 680 786 843 886 967 1024 1053 1062 1179
98	STOAUD	157	10	265 570 880
99	SHAAUD	71	3	41 192 216 272 544 623 920 1049 1051
100	ESTW307	7	19	42 237 279 341 382 475 480 521 640 803 809 990 1090
101	SHAAUD	282	51	42 91 148 153 169 175 279 464 508 648 660 720 894 1001 1067 1128
102	SHAAUD	273	54	42 146 151 271 279 341 346 475 480 514 521 640 803 970 1067 1090 1182
103	SHAAUD	282	52	54 181 185 363 453 659 872 884 966 975 1116 1150 1184
104	SHA410	76	50	43 44 163 204 206 240 364 365 371 377 405 408 429 443 542 544 606 623 653 658 699 740 758 783 854 880 891 1023 1044 1046 1049 1058 1114 1127 1162
105	SHA410	318	21	45 46 146 164 230 248 261 293 305 332 340 355 362 395 444 460 491 500 531 551 573 593 600 652 673 687 693 734 742 757 764 779 837 871 883 887 893 918 923 968 977 988 1010 1032 1090 1160 1166
106	STOAUD		7	45 50 106 164 196 208 235 261 283 293 439 444 491 519 575 589 600 620 636 671 673 692 698 834 977 985 1007 1032 1033 1109 1143 1172 1174
107	STOAUD	325	9	45 159 164 250 305 463 531 636 837 1110 1123 1172
108	STOAUD	159	34	46 106 159 164 230 250 332 343 355 410 491 551 600 601 645 664 671 672 697 741 810 821 841 883 893 949 988 998 1000 1054 1110 1140 1160
109	SHA410	107	23	46 250 305 395 531 601 741 764 810 821 836 837 841 883 1110 1123
110	STOAUD		19	221 346 384 582 688 910 924
111	STOAUD	300	43	81 207 227 269 299 350 415 639 642 684 790 844 1021 1065
112	SHA410	174	24	50 63 143 195 208 259 388 399 472 496 556 570 589 614 619 696 718 768 923 958 968 983 1071 1111 1145 1164
113	STOAUD	179	37	48 123 211 487 954 976 997
114	SHAAUD	2	50	49 84 113 116 198 238 254 272 322 537 574 629 683 727 736 778 944 946 961 1015 1048 1094 1113 1152 1181
115	SHA410	215	56	90 267 289 315 421 624
116	SHAAUD	233	41	53 106 203 269 282 311 394 555 730 1174
117	ESTW307	18	3	190 205 259 376 377 429 432 487 650 652 670 694 769 832 921 985 1088 1113 1163
118	SHA410	201	33	123 245 387 477 567 651 665 675 691 757 777 917 1036 1051 1081 1095 1124 1178
119	SHA410	15	1	94 346 785
120	SHAAUD	317	27	57 88 152 168 218 310 388 709 799 824 956 1158
121	SHA410	169	14	407 681 1096
122	SHA410	108	12	59 194 320 417 452 902 1148 1154
123	ESTW307	241	32	359 549 568 659 838 1139
124	SHAAUD	317	17	61 187 189 256 353 402 558 559 685 703 833 928 980 1129
125	SHA410	194	38	61
126	SHAAUD	251	4	62 86 89 123 145 246 275 294 320 389 540 615 655 661 681 695 742 788 815 852 900 1034 1056 1109 1112 1159 1180
127	ESTW307	290	49	173 349 389 390 815 900 976 1056 1126
128	STOAUD	171	42	89 132 143 214 228 276 310 485 540 676 742 827 839 1034
129	SHA410	124	47	62 145 246 361 412 661 681 1021 1098
130	SHA410	267	48	88 120 125 140 219 284 349 350 367 506 654 676 708 873 958 976 1098 1172
131	SHAAUD	82	19	63 570 723
132	SHAAUD	239	21	83 266 302 465 482 548 562 564 648 805 978 998
133	HLS105	165	17	64
134	ESTW307	62	21	65 66 162 192 199 212 225 399 441 510 625 675 678 725 749 771 792 954 987 1066
135	HLS105	46	13	66 68 124 240 328 386 387 415 423 717 989 1044 1046 1165
136	SHAAUD	329	44	78 89 142 143 201 218 310 337 371 486 508 513 604 610 644 746 755 807 870 925 1120
137	SHA410	67	15	69 79 348 435 494 744 1036 1047
138	STOAUD	195	49	91 107 108 152 196 393 418 484 490 499 530 533 538 572 666 763 773 800 864 877 879 887 908 909 915 971 987 997 1047 1093 1127 1156
139	SHA410	248	35	71 183 645 741 1000 1059
140	STOAUD	159	47	71 106 230 343 491 601 671 709 741 742 798 810 841 953 977 1059
141	ESTW307	8	41	247 522 567 913 1140 1144
142	SHAAUD	50	23	71 148 248 332 340 355 367 410 506 551 645 664 672 697 709 893 998 1000 1054 1059 1140 1160
143	ESTW307	137	31	72 207 598 600 669 698 718 889 906 1008 1018
144	SHA410	160	2	485 743 890
145	SHA410	1	39	74 79 150 163 494 517
146	SHA410	21	51	242 603 835
147	ESTW307	71	15	74 242 603 646 720
148	ESTW307	316	14	74 631
149	HLS105	71	9	75 780 802
150	ESTW307	196	34	76 121 153 191 324 436 456 501 573 576 669 675 754 758 771 854 1079
151	ESTW307	38	25	91 108 113 137 157 198 241 379 395 418 522 532 565 710 712 749 810 832 833 884 929 983 1011 1068 1102 1164
152	STOAUD	87	58	77 533 620 763 983
153	ESTW307	179	10	78 385 407 416
154	SHAAUD	99	30	79 107 217 275 350 517 549 665 791 878 964 1049
155	SHA410	232	52	82 183 231 292 307 319 505 797 995 1038 1085
156	STOAUD	56	36	83 156 266 344 476 497 545 556 624 632 674 761 784 903 917 1181
157	SHAAUD	23	45	
158	SHA410	239	58	87 183 187 189 231 281 292 307 319 528 577 707 797 859 889 932 995 1038 1083 1085
159	ESTW307	297	37	90 180 299 559 577 586 685 756 863 1138
160	SHAAUD	251	32	93 102 347 435 666 1144 1176
161	SHA410	87	32	327 459 994 1135
162	ESTW307	54	56	135
163	HLS105	105	4	292 414 433 874 906 934 1099 1155
164	HLS105	269	7	95 101 1050
165	SHA410	323	53	95 126 151 153 169 306 411 475 480 508 514 521 552 648 660 894 1001 1025 1086 1118
166	SHA410	224	55	97 171 319 1179
167	STOAUD	68	12	119 207 311 356 866
168	ESTW307	29	48	98 165 182 213 232 235 366 372 430 502 504 598 663 1088
169	ESTW307	18	4	99 128 194 298 835 892 1098
170	SHA410	228	5	102 113 321 376 379 383 478 666 712 768 858 909 923 1089 1145
171	ESTW307	54	53	102 548 556 572 1149
172	STOAUD	248	20	298 680 896
173	HLS108	90	58	103 118 200 269 448 732 739 780 802 867 1003
174	SHA410	85	13	104 108 234 274 295 374 391 410 497 510 516 589 615 666 753 779 781 812 911 922 1081
175	SHAAUD	133	33	109 130 268 309 468 492 613 658 766 774 783 833 905 951 1104
176	SHAAUD	74	58	112 134 168 291 751 799 890 959 1014 1072
177	SHAAUD	323	16	112 266 290 333 485 743 856 955 986 1071
178	ESTW307	182	40	115 147 159 196 208 261 283 395 439 477 518 519 589 664 668 692 697 698 742 836 883 985 1005 1033 1045 1174
179	SHA410	225	20	117 358 595 657 677 865 903 935 1115
180	STOAUD	145	23	118
181	SHA410	196	19	118 283 739 903 925 943 952 1169
182	ESTW307	196	28	118 317 375 616 739 780 802 1003 1150
183	SHA410	118	45	124 224 425 453 492 590 754 966 1017 1039 1177
184	STOAUD	83	55	124 274 316 360 408 459 525 627 653 663 672 676 781 817 828 853
185	ESTW307	185	58	539 641 769 860 888 967 982 1102
186	SHAAUD	98	29	333 342 526 547 560 936 941
187	STOAUD	230	13	129 225 334 534 835 907 1073
188	SHAAUD	170	55	130 221 253 258 328 348 392 546 553 759 768 898 929 1002 1076 1078
189	SHAAUD	241	57	130 235 245 260 444 487 511 519 747 828 954 966 1013 1027 1046
190	SHAAUD	160	12	132 136 540 654 878 994 1096
191	SHAAUD	110	40	132 437 822 936 986
192	SHA410	187	18	563 751
193	HLS105	311	11	133 165 188 209 272 282 436 502 702 713 823 978
194	ESTW307	127	29	135 221 976
195	STOAUD	189	28	890
196	ESTW307	17	6	186 565 655 857 1159 1180
197	HLS105	218	12	141 222 1071
198	SHA410	170	54	142 218 347 1063
199	SHA410	27	34	144 215 336 403 468 888 894 1170
200	SHA410	127	57	146 147 395 431 460 518 539 543 575 673 698 709 798 834 883 918 934 977 985 1007 1016 1032 1033 1045 1143
201	ESTW307	192	12	147 245 247 406 410 431 477 518 522 539 543 567 779 798 816 913 918 934 953 1005 1012 1016 1045 1074 1117 1144 1176
202	STOAUD	296	41	150 161 446 451 996 1019 1053 1082
203	STOAUD	281	22	
204	SHA410	36	7	209 355 404 406 466 506 513 708 772 791 832 838 888 953 1053 1117 1135 1159
205	ESTW307	78	18	418 422 533 666 773 800 909 997 1068
206	ESTW307	248	11	159
207	ESTW307	199	9	160 345 667 763 817 852 873 963 1014 1038
208	HLS105	180	6	160 619 946 962
209	HLS105	54	10	167 790 984
210	ESTW307	132	42	201 677 705 772 1029 1163
211	ESTW307	151	20	172 329
212	HLS109	112	58	175 234 464 470 515 703 1061
213	ESTW307	205	13	175 256 464 552 553 577 703 915 1061
214	SHAAUD	304	14	334 822
215	ESTW307	104	1	178 435 462 525 634 646 663 1068
216	ESTW307	73	38	375 420 439 658 789 857 882 902 907 964 984 1044
217	SHA410	19	44	186
218	SHA410	294	16	187 256 426 577 833
219	ESTW307	207	47	189 281 292 319 474 505 528 707 889 932 1085
220	SHAAUD	39	49	461 463 952
221	SHA410	14	37	197 229 273 414 495 517 723 876 885 1104 1125
222	ESTW307	113	7	197 337 465 592 715 732 755 808 844 897 1051 1147
223	STOAUD	320	57	238 240 374 561 654 785 835 856 958 1102 1182
224	SHAAUD	323	37	264 281 361 390 514 569 608 620 634 788 849 862 932 1154
225	SHAAUD	61	36	215 283 425 483 536 554 590 635 650 723 740 762 829 851 880 894 999 1037 1063
226	STOAUD	146	33	217 743 793 940
227	SHA410	17	11	253 349 392 627 639 983
228	ESTW307	237	24	271 295 367 390 446 557 849 855 922 1052 1149
229	SHAAUD	238	25	893 949
230	SHAAUD	199	22	
231	CHSAUD	192	58	237 915
232	HLS105	282	20	244 417 1130
233	HLS105	320	22	501 545 705 752 1078
234	ESTW307	189	54	255 454 536 722 767 777 1157
235	HLS105	254	1	297 324 537 594 618 656 728 738 755 929 1025
236	SHAAUD	61	24	264 568 628 684 701 717 857 916
237	STOAUD	228	38	275 641 788 967
238	ESTW307	101	44	278 287 869 952 1151 1167
239	HLS105	239	3	285 385 622 679 693 700 776 912 1093 1175
240	SHAAUD	28	38	289 812 1019
241	SHA410	11	8	294 352 545 665 711 788 988 1097 1146
242	SHA410	153	49	313 422 770 869 967
243	SHAAUD	292	13	315 682 1169
244	ESTW307	166	2	607 796
245	ESTW309	180	58	318 328 474 553 881 898 1154
246	ESTW307	237	51	
247	HLS105	292	58	326 415 636 1122
248	ESTW307	14	36	349 778 1151 1167
249	ESTW307	146	5	384 616 1172
250	ESTW307	19	52	452 711 982 1169
251	HLS105	241	14	483 509 563 855 933 937 962 1027 1155
252	SHA410	75	36	557 874 926 1177
253	SHAAUD	174	46	568 794
254	HLS105	90	2	583
255	ESTW307	311	55	643 715
256	HLS105	320	18	947
257	HLS105	186	23	681 732 1180
258	ESTW307	68	30	748 922 1075
259	HLS105	30	8	780 984
260	HLS105	196	19	53 186 195 303 331 371 450 625 642 674 679 721 734 787 939 1007 1028 1030 1059 1102
